               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.083237,              0.0827,             0.12513,             0.46428,             0.30509,             0.30672,             0.13413,            0.084384,             0.10179,            0.024899,            0.006436,            0.006436,            0.006436
                  38,            0.083196,            0.081778,              0.1232,             0.46702,             0.30835,             0.30728,             0.13724,            0.084261,             0.10206,            0.025462,            0.006337,            0.006337,            0.006337
                  39,            0.083026,            0.082708,             0.12326,             0.46966,             0.29897,             0.30289,             0.13547,            0.084296,             0.10317,            0.025894,            0.006238,            0.006238,            0.006238
                  40,            0.082866,            0.082649,             0.12176,             0.48558,              0.3002,             0.30983,             0.13695,            0.084187,             0.10209,             0.02584,            0.006139,            0.006139,            0.006139
                  41,            0.082561,            0.082163,             0.12135,             0.48366,              0.3069,             0.31392,             0.13831,            0.084099,             0.10216,            0.025622,             0.00604,             0.00604,             0.00604
                  42,            0.082448,            0.081726,              0.1193,             0.47098,             0.30786,             0.30777,              0.1379,            0.084274,             0.10228,             0.02584,            0.005941,            0.005941,            0.005941
                  43,            0.082385,            0.081984,             0.11889,             0.46955,             0.30633,             0.30946,             0.14029,            0.083657,             0.10207,            0.025516,            0.005842,            0.005842,            0.005842
                  44,            0.082003,            0.080497,             0.11264,             0.50156,               0.305,              0.3126,             0.14031,            0.083666,             0.10225,            0.025941,            0.005743,            0.005743,            0.005743
                  45,            0.081934,            0.081326,             0.11413,             0.47838,             0.30681,             0.31044,             0.14159,            0.083695,             0.10258,            0.025627,            0.005644,            0.005644,            0.005644
                  46,            0.082189,            0.082785,             0.11742,             0.45775,             0.30679,             0.30834,             0.13839,            0.083906,             0.10277,            0.026031,            0.005545,            0.005545,            0.005545
                  47,            0.081909,            0.082149,             0.11517,             0.46834,             0.31491,             0.31365,             0.14338,             0.08355,             0.10254,            0.026395,            0.005446,            0.005446,            0.005446
                  48,             0.08147,            0.082037,             0.11221,             0.46339,             0.30655,             0.30657,             0.13847,            0.083729,             0.10253,            0.026519,            0.005347,            0.005347,            0.005347
                  49,            0.081441,            0.081429,             0.11338,             0.47908,             0.29755,             0.31109,             0.14129,            0.083602,             0.10336,             0.02637,            0.005248,            0.005248,            0.005248
                  50,            0.081341,            0.081701,             0.11274,             0.45825,             0.30559,              0.3104,             0.13929,              0.0838,             0.10298,            0.026751,            0.005149,            0.005149,            0.005149
