               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.043828,                0.05,            0.022459,             0.79252,             0.81943,             0.86815,             0.58648,            0.038519,            0.026711,           0.0024551,            0.008845,            0.008845,            0.008845
                  37,            0.041951,            0.047717,            0.021091,              0.8126,             0.81976,               0.867,             0.58729,             0.03957,            0.026604,           0.0026525,            0.008812,            0.008812,            0.008812
                  38,            0.043814,            0.040812,            0.019691,             0.79871,             0.80709,             0.86525,             0.52657,            0.042431,            0.026896,           0.0026019,            0.008779,            0.008779,            0.008779
                  39,            0.045054,            0.049989,             0.02229,             0.83273,             0.78222,             0.87176,             0.53201,            0.040478,            0.026478,           0.0024971,            0.008746,            0.008746,            0.008746
                  40,            0.043927,             0.04792,            0.022312,             0.82727,             0.83111,             0.88761,             0.55888,            0.040288,            0.026171,           0.0025661,            0.008713,            0.008713,            0.008713
                  41,            0.046148,            0.047463,            0.020007,             0.82483,              0.8356,             0.89693,             0.55048,            0.041458,            0.026353,           0.0025035,             0.00868,             0.00868,             0.00868
                  42,            0.043676,            0.043534,            0.018674,             0.80176,             0.81606,             0.86121,              0.5222,            0.043148,            0.026402,           0.0024694,            0.008647,            0.008647,            0.008647
                  43,            0.044956,            0.047881,            0.019131,             0.80564,             0.81422,             0.87518,             0.52933,            0.042748,            0.026226,           0.0024227,            0.008614,            0.008614,            0.008614
                  44,            0.045761,            0.042925,            0.018699,             0.81251,             0.84345,             0.89934,             0.55512,              0.0403,            0.025957,           0.0023966,            0.008581,            0.008581,            0.008581
                  45,            0.043154,            0.049417,            0.020841,             0.79151,               0.849,              0.8883,             0.56728,            0.040647,            0.026134,           0.0024117,            0.008548,            0.008548,            0.008548
                  46,            0.042185,            0.048249,            0.019225,             0.80651,             0.83844,             0.89579,             0.57433,            0.041118,            0.025753,           0.0023904,            0.008515,            0.008515,            0.008515
                  47,            0.043065,            0.048096,            0.020434,             0.80524,             0.82445,             0.87299,             0.52868,            0.042282,            0.025903,           0.0023646,            0.008482,            0.008482,            0.008482
                  48,             0.04549,            0.045525,            0.019528,             0.84715,             0.82573,             0.88721,             0.58669,            0.038122,            0.025215,           0.0023579,            0.008449,            0.008449,            0.008449
                  49,             0.04394,            0.049034,            0.020087,             0.83235,             0.83088,             0.88695,             0.56666,              0.0393,            0.025095,           0.0022309,            0.008416,            0.008416,            0.008416
                  50,            0.045296,            0.046928,            0.017543,             0.83658,             0.84232,             0.88615,             0.56295,            0.040082,            0.025132,           0.0022721,            0.008383,            0.008383,            0.008383
                  51,            0.044689,            0.048166,            0.020149,             0.83286,              0.8387,             0.89273,             0.57048,            0.039856,            0.024808,           0.0022057,             0.00835,             0.00835,             0.00835
                  52,            0.044885,            0.043337,            0.019167,              0.8446,              0.8341,             0.89993,             0.59323,            0.038595,            0.024846,           0.0022345,            0.008317,            0.008317,            0.008317
                  53,            0.043408,            0.046094,            0.019332,             0.85096,             0.81784,             0.90248,             0.59928,            0.038679,            0.024883,           0.0022095,            0.008284,            0.008284,            0.008284
                  54,            0.042408,            0.045777,            0.017979,             0.85883,             0.81329,             0.89751,              0.5476,            0.041096,            0.025037,           0.0022358,            0.008251,            0.008251,            0.008251
                  55,             0.04458,            0.047542,            0.021085,             0.86553,              0.8111,             0.90177,             0.59239,            0.038027,            0.024309,           0.0022769,            0.008218,            0.008218,            0.008218
                  56,            0.043156,            0.042676,            0.016775,             0.86009,             0.82981,              0.9198,             0.58313,            0.037938,            0.024054,           0.0022181,            0.008185,            0.008185,            0.008185
                  57,            0.039318,            0.042208,            0.016911,             0.81915,             0.85139,             0.90542,             0.58127,            0.037891,            0.023908,           0.0021958,            0.008152,            0.008152,            0.008152
                  58,            0.042264,             0.04342,            0.016582,             0.83726,             0.84379,             0.91096,             0.57649,            0.037989,            0.024257,           0.0021905,            0.008119,            0.008119,            0.008119
                  59,            0.041187,            0.046508,            0.017641,               0.853,             0.84341,             0.91096,             0.59925,             0.03625,            0.023959,           0.0020927,            0.008086,            0.008086,            0.008086
                  60,            0.041578,            0.041858,            0.014644,             0.83106,             0.83628,             0.90024,             0.58448,            0.039523,            0.024169,           0.0020732,            0.008053,            0.008053,            0.008053
                  61,            0.041855,            0.041613,            0.016113,             0.81859,             0.85818,             0.89059,             0.57209,             0.03743,            0.024138,           0.0020529,             0.00802,             0.00802,             0.00802
                  62,            0.041827,            0.046126,            0.016419,             0.78519,             0.87616,             0.90121,              0.6065,             0.03778,            0.023682,           0.0020234,            0.007987,            0.007987,            0.007987
                  63,            0.042622,            0.045343,            0.018248,             0.85537,             0.85036,             0.91364,             0.63027,            0.035043,            0.023634,           0.0020038,            0.007954,            0.007954,            0.007954
                  64,             0.04112,             0.04584,            0.019431,             0.81951,             0.85247,             0.90444,             0.62218,            0.036689,            0.023644,           0.0020054,            0.007921,            0.007921,            0.007921
                  65,            0.040763,            0.042806,            0.016618,             0.82983,             0.85853,             0.91275,             0.62871,            0.036489,            0.023708,           0.0020071,            0.007888,            0.007888,            0.007888
                  66,             0.04086,            0.039545,            0.016037,             0.84929,             0.84879,             0.91012,             0.62922,            0.035251,             0.02401,           0.0020863,            0.007855,            0.007855,            0.007855
                  67,            0.039198,            0.042359,            0.017272,             0.89662,             0.84129,             0.91257,             0.64201,            0.033439,            0.023665,           0.0020268,            0.007822,            0.007822,            0.007822
                  68,            0.039898,            0.044893,            0.017374,             0.83088,             0.86341,             0.91484,             0.61077,            0.036475,            0.024055,           0.0019828,            0.007789,            0.007789,            0.007789
                  69,            0.042123,            0.039197,            0.014706,             0.80252,             0.86467,             0.88582,             0.60193,            0.036671,            0.023686,           0.0019461,            0.007756,            0.007756,            0.007756
                  70,            0.041563,            0.043034,            0.017423,             0.83858,             0.86548,             0.91093,             0.58435,            0.037294,            0.023916,           0.0020071,            0.007723,            0.007723,            0.007723
                  71,            0.041921,            0.041055,            0.015762,             0.81704,             0.85183,             0.88874,               0.582,            0.038127,            0.024207,            0.002104,             0.00769,             0.00769,             0.00769
                  72,            0.042118,            0.038822,            0.016316,              0.8631,             0.86187,             0.90544,             0.58759,            0.038104,            0.023898,            0.002174,            0.007657,            0.007657,            0.007657
