               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.08297,             0.17673,             0.61732,             0.35937,             0.27959,             0.27658,              0.1409,            0.084603,             0.21199,            0.033544,            0.006436,            0.006436,            0.006436
                  38,            0.082999,             0.17757,             0.61884,             0.39217,             0.26781,             0.27738,             0.14148,            0.084611,             0.21291,            0.033691,            0.006337,            0.006337,            0.006337
                  39,            0.082602,             0.17692,              0.6051,             0.41728,             0.26631,             0.27751,             0.14448,            0.084574,             0.21211,            0.033401,            0.006238,            0.006238,            0.006238
                  40,            0.082669,             0.17706,             0.61445,             0.40384,             0.25708,             0.27517,             0.13714,            0.084501,             0.21309,            0.033682,            0.006139,            0.006139,            0.006139
                  41,            0.082522,             0.17667,             0.60979,             0.41881,             0.25932,             0.27473,             0.13972,            0.084336,             0.21255,            0.033588,             0.00604,             0.00604,             0.00604
                  42,            0.082413,             0.17656,             0.60677,             0.38668,             0.27142,             0.27341,              0.1403,            0.084484,             0.21189,            0.033635,            0.005941,            0.005941,            0.005941
                  43,            0.082397,             0.17703,             0.60608,             0.46592,             0.25698,              0.2794,             0.13871,              0.0844,             0.21266,            0.033825,            0.005842,            0.005842,            0.005842
                  44,            0.082241,             0.17612,             0.59403,              0.3546,             0.27531,             0.27491,             0.13411,            0.084406,             0.21247,            0.033739,            0.005743,            0.005743,            0.005743
                  45,            0.082336,             0.17636,             0.59822,             0.40539,             0.27649,             0.28248,             0.14253,             0.08435,             0.21324,            0.033808,            0.005644,            0.005644,            0.005644
                  46,            0.082282,             0.17764,             0.60484,             0.41221,             0.26521,             0.28883,             0.14566,            0.084183,             0.21258,            0.033885,            0.005545,            0.005545,            0.005545
                  47,            0.082121,             0.17778,             0.60174,             0.42369,             0.27559,             0.28034,             0.14315,             0.08432,             0.21319,            0.034054,            0.005446,            0.005446,            0.005446
                  48,            0.082009,             0.17748,              0.5973,              0.4077,             0.27716,             0.27868,             0.14144,            0.084149,             0.21315,               0.034,            0.005347,            0.005347,            0.005347
                  49,            0.081932,             0.17599,             0.58282,             0.39373,             0.28049,             0.28553,             0.14363,            0.084216,              0.2126,             0.03404,            0.005248,            0.005248,            0.005248
                  50,            0.081821,             0.17568,             0.58326,             0.39348,             0.27877,             0.28096,             0.14149,            0.084002,             0.21315,            0.034212,            0.005149,            0.005149,            0.005149
                  51,            0.082041,             0.17674,             0.59205,             0.37799,             0.28957,             0.28764,             0.14486,            0.084093,             0.21279,            0.034083,             0.00505,             0.00505,             0.00505
                  52,            0.081571,             0.17732,              0.5908,             0.40871,             0.27652,             0.27801,             0.14208,            0.084021,             0.21365,             0.03429,            0.004951,            0.004951,            0.004951
                  53,            0.081552,             0.17476,             0.57446,             0.42874,             0.26273,             0.28265,             0.14357,            0.084024,             0.21332,            0.034236,            0.004852,            0.004852,            0.004852
                  54,            0.081474,              0.1769,             0.58133,             0.34772,             0.29572,             0.27985,             0.14094,            0.083928,             0.21395,            0.034675,            0.004753,            0.004753,            0.004753
                  55,            0.081537,              0.1779,             0.58745,             0.41844,             0.25875,             0.28804,             0.14616,            0.083915,             0.21375,            0.034713,            0.004654,            0.004654,            0.004654
                  56,            0.081394,             0.17455,             0.57353,             0.39897,              0.2712,              0.2837,             0.14612,             0.08377,              0.2134,            0.034574,            0.004555,            0.004555,            0.004555
                  57,            0.081033,              0.1755,             0.56942,              0.3537,             0.28798,              0.2844,             0.14447,            0.083924,               0.213,             0.03442,            0.004456,            0.004456,            0.004456
                  58,            0.081296,             0.17641,             0.57336,             0.34842,             0.27159,              0.2805,             0.14359,             0.08401,              0.2138,            0.034743,            0.004357,            0.004357,            0.004357
                  59,            0.081139,             0.17605,             0.56825,              0.4571,              0.2559,             0.28156,             0.14306,            0.083838,             0.21305,            0.034607,            0.004258,            0.004258,            0.004258
                  60,            0.080988,             0.17423,             0.55671,             0.37121,             0.27781,             0.27996,              0.1432,              0.0839,             0.21277,            0.034867,            0.004159,            0.004159,            0.004159
                  61,            0.081108,             0.17711,             0.57467,             0.41518,             0.27963,             0.28459,             0.14515,            0.083786,              0.2134,            0.034558,             0.00406,             0.00406,             0.00406
                  62,            0.080941,             0.17484,             0.56312,               0.396,             0.27497,             0.28957,              0.1464,            0.083757,             0.21353,            0.034713,            0.003961,            0.003961,            0.003961
                  63,            0.080651,             0.17475,             0.55807,             0.40445,             0.27761,             0.28768,             0.15006,            0.083706,             0.21375,            0.035142,            0.003862,            0.003862,            0.003862
                  64,            0.080507,             0.17385,             0.54098,             0.39041,             0.28449,             0.29018,             0.14915,            0.083602,             0.21347,             0.03488,            0.003763,            0.003763,            0.003763
                  65,            0.080708,             0.17615,             0.56103,             0.37208,              0.2819,             0.28484,             0.14649,            0.083614,             0.21336,            0.034997,            0.003664,            0.003664,            0.003664
                  66,            0.080342,             0.17251,             0.53816,             0.40466,             0.27904,             0.28413,             0.14677,            0.083493,             0.21416,            0.035269,            0.003565,            0.003565,            0.003565
