               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.041761,            0.035938,           0.0017674,              0.8125,             0.64068,             0.73323,             0.46594,            0.039555,            0.040365,          0.00051903,            0.006535,            0.006535,            0.006535
                  37,            0.040894,            0.034446,           0.0016783,             0.82314,              0.6381,             0.72937,             0.45969,            0.039503,            0.040411,           0.0005042,            0.006436,            0.006436,            0.006436
                  38,            0.040969,            0.034602,           0.0015869,             0.80344,             0.64285,             0.72411,             0.46099,            0.039566,            0.040592,          0.00039483,            0.006337,            0.006337,            0.006337
                  39,            0.040991,            0.035402,            0.001635,             0.80957,             0.62944,             0.72565,             0.46265,            0.039317,            0.040461,          0.00046013,            0.006238,            0.006238,            0.006238
                  40,            0.040662,            0.034099,           0.0015351,             0.81647,             0.63381,             0.72913,             0.46147,            0.039276,            0.040186,          0.00039239,            0.006139,            0.006139,            0.006139
                  41,            0.040559,            0.034562,           0.0015238,             0.82254,             0.63917,             0.73231,             0.46855,            0.039116,             0.04077,          0.00041305,             0.00604,             0.00604,             0.00604
                  42,             0.04042,            0.034486,           0.0015134,             0.84072,             0.62767,             0.73168,             0.46748,            0.039086,            0.040097,          0.00041218,            0.005941,            0.005941,            0.005941
                  43,            0.040012,            0.034219,            0.001492,             0.83434,             0.63453,             0.73397,             0.46977,            0.038995,            0.040602,          0.00035325,            0.005842,            0.005842,            0.005842
                  44,            0.039967,            0.033724,           0.0014436,             0.82545,             0.62996,             0.73191,             0.47101,            0.038916,            0.040391,          0.00035854,            0.005743,            0.005743,            0.005743
                  45,            0.039857,            0.034246,            0.001435,              0.8293,             0.63188,             0.73338,             0.46947,            0.038818,            0.040228,          0.00030798,            0.005644,            0.005644,            0.005644
                  46,            0.039783,            0.034787,           0.0013873,             0.84054,             0.64039,             0.73877,             0.47385,            0.038793,            0.039793,          0.00029918,            0.005545,            0.005545,            0.005545
                  47,            0.039632,            0.034515,           0.0013716,             0.83466,             0.62952,             0.73132,             0.46974,            0.038818,            0.040329,          0.00027067,            0.005446,            0.005446,            0.005446
                  48,             0.03935,            0.033801,           0.0013195,             0.83245,             0.63938,             0.73403,             0.47168,            0.038841,            0.040393,          0.00029885,            0.005347,            0.005347,            0.005347
                  49,            0.039257,            0.033853,           0.0012848,             0.82412,             0.64088,             0.73432,             0.47247,            0.038752,            0.040759,          0.00025371,            0.005248,            0.005248,            0.005248
                  50,            0.038872,            0.033961,            0.001254,             0.83222,             0.63681,              0.7352,             0.46972,            0.038728,            0.040468,          0.00020659,            0.005149,            0.005149,            0.005149
                  51,            0.038693,             0.03401,           0.0012446,             0.84096,             0.63038,              0.7338,             0.47378,            0.038565,            0.040054,          0.00020686,             0.00505,             0.00505,             0.00505
                  52,            0.038825,            0.033855,           0.0012134,             0.81145,             0.63188,             0.73178,             0.47261,            0.038809,            0.040388,          0.00021454,            0.004951,            0.004951,            0.004951
                  53,            0.038766,            0.033471,           0.0011847,             0.81684,              0.6426,             0.73645,             0.47496,            0.038588,            0.040454,          0.00020425,            0.004852,            0.004852,            0.004852
                  54,            0.038832,            0.034049,           0.0011799,             0.82346,             0.64045,             0.73649,             0.47495,            0.038368,            0.040726,           0.0001799,            0.004753,            0.004753,            0.004753
                  55,            0.038401,            0.033288,           0.0011268,              0.8427,             0.63317,             0.73812,             0.47585,            0.038524,             0.04096,          0.00017402,            0.004654,            0.004654,            0.004654
                  56,            0.038132,            0.033254,           0.0011024,             0.83614,             0.63124,             0.73425,             0.47603,            0.038562,            0.040851,           0.0001607,            0.004555,            0.004555,            0.004555
                  57,            0.037623,            0.033289,           0.0010491,             0.84137,             0.63759,             0.74014,             0.47868,            0.038452,            0.040352,          0.00013208,            0.004456,            0.004456,            0.004456
                  58,            0.037508,            0.033193,           0.0010355,             0.84562,             0.62674,             0.73479,             0.47403,            0.038532,             0.04033,          0.00014438,            0.004357,            0.004357,            0.004357
                  59,            0.037801,            0.032666,           0.0010293,             0.84435,             0.62882,             0.73608,             0.47799,            0.038347,              0.0404,          0.00012115,            0.004258,            0.004258,            0.004258
                  60,            0.037581,            0.032763,          0.00099659,             0.83803,             0.62639,             0.73436,             0.48142,            0.038113,            0.040379,          0.00013613,            0.004159,            0.004159,            0.004159
                  61,            0.037057,            0.032529,          0.00096388,             0.81811,             0.63512,             0.73248,             0.47697,            0.038272,            0.040641,          0.00011141,             0.00406,             0.00406,             0.00406
                  62,            0.037227,            0.032768,           0.0009552,             0.82323,             0.63553,             0.73667,             0.47892,            0.038449,            0.040916,          0.00011847,            0.003961,            0.003961,            0.003961
                  63,            0.036817,            0.032015,          0.00089484,             0.83231,             0.63704,             0.73862,             0.48032,            0.038217,            0.040241,          0.00010587,            0.003862,            0.003862,            0.003862
                  64,            0.036803,            0.031988,          0.00088565,              0.8399,              0.6336,             0.74048,             0.48275,            0.038208,            0.040406,          9.6992e-05,            0.003763,            0.003763,            0.003763
                  65,            0.036696,            0.032067,          0.00088136,             0.83498,             0.63167,             0.73538,             0.48089,            0.038048,            0.040629,          9.3896e-05,            0.003664,            0.003664,            0.003664
                  66,            0.036742,            0.031801,          0.00084459,              0.8434,             0.63017,             0.73582,             0.48092,              0.0381,            0.040566,          9.2412e-05,            0.003565,            0.003565,            0.003565
                  67,            0.036259,            0.031966,          0.00081784,             0.83423,             0.63274,             0.73719,              0.4819,            0.038147,            0.041073,          8.4154e-05,            0.003466,            0.003466,            0.003466
                  68,            0.036028,            0.031664,           0.0007929,             0.82773,             0.63295,             0.73728,             0.48229,             0.03818,            0.040617,          6.5816e-05,            0.003367,            0.003367,            0.003367
                  69,            0.036111,             0.03186,          0.00076009,             0.82552,             0.64024,             0.73707,             0.48408,            0.038161,            0.040706,          6.2406e-05,            0.003268,            0.003268,            0.003268
                  70,            0.036161,             0.03202,          0.00075464,             0.82016,             0.64005,             0.73613,             0.48231,            0.038118,            0.040651,          6.2355e-05,            0.003169,            0.003169,            0.003169
                  71,            0.035849,            0.032504,          0.00071755,             0.83758,             0.63868,             0.73705,             0.48439,            0.038045,            0.040561,           5.974e-05,             0.00307,             0.00307,             0.00307
                  72,            0.035882,            0.032091,          0.00070976,             0.82732,             0.64061,             0.73996,             0.48734,            0.037932,            0.040547,          5.2483e-05,            0.002971,            0.002971,            0.002971
                  73,            0.035474,             0.03125,          0.00065314,             0.82211,             0.64463,             0.73945,             0.48503,             0.03785,              0.0405,          4.0823e-05,            0.002872,            0.002872,            0.002872
